ISBN           Title                                    Ed  Author(s)                                     Year  Price   
0814276606079  Computer Security                         6  Alice Patterson                               2017   78.89
1770685096493  C++ Systems                               6  Irene O'Reilly & Harry Silberschatz           2017   33.52
5354101586573  Developing Secure Networks                6  Jenny O'Reilly                                2012   95.08
8136871105911  Java Principles                           3  Frank Patterson & Eve Kurose                  1998   67.37
4001129317713  Secure Systems                            8  Harry Miller                                  2016   93.01
1624298664883  Advanced Computer Problems                1  Frank Ross & Eve Quicksilver                  2005   96.51
0438429100658  Python Problems                           4  Bob Tanenbaum                                 2004   10.62
0411174660002  Diving into Operating Fundamentals        8  Bob Patterson                                 1991   23.78
1260566594133  Python Concepts                           3  Bob Lee                                       2017   61.80
8560494726901  Computer Systems                          3  Charlie Kurose & Charlie Lee                  2009   27.80
5372762174930  Operating Systems                         5  Charlie O'Reilly & Jenny Quicksilver          1995   96.56
6831190526472  Hacking C++ Systems                       2  Alice Patterson & David Null                  2016   41.47
1481337380542  C++ Basics                                6  Eve Lee                                       1997    6.77
1987874874932  Understanding Game Concepts               3  Frank Miller & Harry Quicksilver              2001   38.59
6393093087032  Advanced Web Concepts                     6  Charlie O'Reilly                              2006   17.43
4964533518201  Understanding Hardware Basics             1  David Miller                                  2008   59.02
8099505175307  Advanced Hardware Fundamentals            4  Bob Null & Eve Kurose                         1990    4.80
6676590813001  Hacking Operating Principles              7  Eve Miller & Frank Silberschatz               2014   51.02
0198733297369  Hacking Database Security                 2  Bob Miller & Bob Miller                       2017   70.40
1818519981177  Hardware Security                         2  Frank Miller & Alice Kurose                   2004   64.86
1121277051899  Diving into Python Security               2  Alice Null & Jenny Kurose                     2016   85.86
8212716107661  Operating Concepts                        1  Eve Lee                                       2003   91.19
9936395505990  Database Basics                           4  Harry Patterson & Alice Ross                  2000   94.39
7420451484909  Understanding Game Basics                 8  Alice Lee                                     2004   90.20
5202028960580  Mastering C++ Problems                    1  Charlie Null                                  1996   77.94
4843546700468  Java Fundamentals                         5  Gerry Kurose                                  2017   55.73
6756763156170  Secure Security                           6  David Tanenbaum                               2014   78.99
9825193117029  Game Concepts                             4  Charlie Miller & Jenny Silberschatz           2010   27.10
6317948290189  Mastering C++ Concepts                    1  Alice Patterson & Eve Lee                     1999   35.37
4140451078429  Understanding Java Principles             9  Charlie Ross                                  2000   54.37
2442335938380  Web Systems                               8  Irene Patterson & Gerry Null                  2000   92.92
4927859584314  Computer Problems                         8  Charlie O'Reilly & Charlie Tanenbaum          2006   12.81
3620832787563  Secure Fundamentals                       2  David Lee                                     2017    8.71
4656930989289  Diving into Game Systems                  5  Irene Null & Eve Kurose                       2011   61.77
9126986785443  Computer Problems                         1  Bob Null & Irene Silberschatz                 1993   81.35
1266356144287  Mastering Database Problems               1  Bob Patterson & Gerry Silberschatz            2017   34.62
3110760941735  Database Concepts                         6  Alice Quicksilver & Alice Quicksilver         1991   81.26
9731400594385  Advanced Python Problems                  6  Harry Quicksilver                             2005   69.20
4037454033193  C++ Basics                                5  Frank Null & Gerry O'Reilly                   1990   59.63
7880288763826  Database Fundamentals                     8  David Kurose                                  1999   48.88
8313071488733  Understanding Operating Problems          3  Harry Ross                                    2017   87.46
4456828246636  Introduction to Operating Problems        6  David Quicksilver                             2009   44.57
2432825517386  Developing Web Fundamentals               8  Eve Quicksilver & Gerry Patterson             1996   80.78
0373789773724  Computer Basics                           6  Frank Null                                    1993   77.37
4673576098502  Game Problems                             1  Eve Ross                                      1995   40.29
9322077370934  Understanding Database Fundamentals       7  Alice Tanenbaum                               2000   37.34
2648117431167  Java Principles                           6  Irene Silberschatz                            2016   54.87
7561306126436  Mastering Operating Security              2  Harry O'Reilly                                2000   33.55
7808629491445  Understanding Game Fundamentals           1  David Patterson                               1996   62.01
5184484634380  Secure Problems                           5  Gerry Tanenbaum                               1997   91.52
4388029361893  Diving into C++ Basics                    3  Harry Miller                                  2013   63.17
7518230867347  Web Principles                            3  Frank Tanenbaum                               2008    0.09
2044089886141  Developing Game Networks                  5  Jenny Patterson                               1997   76.18
5084616429928  Understanding Operating Basics            7  Irene Quicksilver & Gerry O'Reilly            2000   52.64
6385178451839  Web Security                              4  Harry Ross & Alice O'Reilly                   2009   57.23
9536744502951  Hacking Java Systems                      8  Frank Tanenbaum                               2015   73.35
1951898634736  Introduction to Operating Problems        2  Charlie Null                                  2009   34.36
8022107566703  Introduction to Hardware Principles       7  Frank O'Reilly & Harry Silberschatz           2009   46.38
6699510189829  Mastering Web Systems                     7  Eve Lee                                       1997   11.47
2674457872939  Understanding Java Fundamentals           6  Harry Ross & Frank Ross                       1999   45.50
2180579212990  Advanced Web Systems                      1  Gerry Quicksilver & Alice Miller              2017   99.46
8599031938216  Mastering Hardware Concepts               4  Gerry Miller & Harry Patterson                2015   65.40
3841583323237  Python Problems                           8  Alice Kurose & Gerry Patterson                2012   21.23
7481187955252  Database Fundamentals                     5  Bob Lee & Charlie Miller                      1997   51.14
