ISBN           Title                                    Ed  Author(s)                                     Year  Price   
2297600370935  Computer Fundamentals                     9  Harry Patterson & Alice Lee                   1995   28.81
2130193927631  Game Fundamentals                         4  Gerry Null & Harry Ross                       2002   75.41
7835950360987  Diving into Secure Principles             6  Gerry Ross & Jenny Lee                        2002   60.32
5221986713082  Hacking Java Basics                       3  Harry Ross                                    2009   70.92
4256914433186  Hacking Hardware Problems                 4  David Silberschatz                            1995   73.44
1225050722252  Diving into Database Security             3  David Quicksilver                             2000   79.69
6193679337966  Mastering Database Basics                 6  Gerry O'Reilly                                2015   49.90
5302457643618  Secure Basics                             1  Bob Silberschatz                              1996   49.53
3358163390452  Java Problems                             3  Irene Silberschatz & Bob Kurose               2017   14.98
9109328020369  Game Concepts                             4  Irene Patterson & Bob Null                    2010   90.33
8977849769597  Web Principles                            9  Jenny Lee & Harry Tanenbaum                   2010   49.88
0426154353016  Game Security                             7  Irene Lee                                     2006   91.29
0699604691297  Advanced Java Security                    6  Alice Ross & Bob Null                         1991   33.65
4944842094485  Mastering Web Principles                  3  Irene Patterson & Bob Patterson               2002   42.67
1810289577354  Developing Python Fundamentals            5  Harry Kurose & Harry O'Reilly                 1996   56.75
5777845321485  Diving into Hardware Problems             1  Irene Silberschatz                            2001    1.72
6223997899702  Secure Concepts                           8  Frank Miller                                  1993    6.03
3485859985087  Web Security                              7  Frank Ross & Charlie Kurose                   1990   46.60
8289670425076  Operating Basics                          2  David Ross & Irene Patterson                  2000    4.60
1489531152644  Secure Systems                            6  Eve Quicksilver                               2016   10.30
2807995814975  Python Fundamentals                       4  Frank Patterson                               2007   67.95
3872793509768  Database Concepts                         2  Eve Quicksilver & Irene Silberschatz          1993   16.13
2393045287482  Operating Basics                          9  Irene Kurose & David Null                     2010   61.73
3282734935614  Hacking Web Systems                       5  Charlie O'Reilly                              2014   63.02
7108150943540  Web Problems                              5  Bob Null                                      2007   26.59
7269929771936  Secure Security                           6  Charlie Ross & Eve Tanenbaum                  2014   96.33
6829981099880  Introduction to C++ Principles            1  Jenny Ross & David Ross                       1991   93.62
3773675705589  Game Basics                               6  Gerry Kurose                                  2001   94.60
1783343877088  Understanding Hardware Security           9  Harry Lee                                     1994   92.52
4597134826842  Java Problems                             6  Jenny Miller                                  2018   12.24
5805489518308  Advanced Hardware Concepts                7  Gerry Kurose & Charlie Miller                 1996   78.72
8529379484710  Introduction to Secure Networks           4  Charlie Silberschatz & Jenny Null             2008   44.59
2188182704101  Mastering Computer Systems                9  Harry O'Reilly                                2005   79.51
9896714700365  Secure Concepts                           1  Bob Tanenbaum                                 1997   34.46
3993719490341  Hacking Python Principles                 1  David Tanenbaum                               2017    1.29
0567116356452  Python Principles                         5  Frank O'Reilly                                1997   70.48
1462363938661  Understanding Python Principles           8  David Null                                    1997   58.06
8221659453686  Computer Fundamentals                     2  Alice O'Reilly & Frank Kurose                 2011   55.06
5525305946216  Operating Networks                        7  Bob Quicksilver & Harry Lee                   2013   58.38
5165401580123  Mastering Operating Problems              5  Alice Lee                                     1997   91.40
1690110479084  Developing Operating Concepts             2  David Patterson & Alice Miller                2009   10.94
4430366607673  Python Principles                         7  Frank O'Reilly                                2010   21.63
7869282262588  Understanding Game Networks               4  Alice Patterson                               2006   61.07
7308463742581  Developing Game Problems                  4  Gerry Kurose                                  2010   58.44
1901448318721  Mastering Secure Fundamentals             7  Irene O'Reilly & David Patterson              2017   24.38
1532609265852  C++ Systems                               1  Irene O'Reilly & Jenny Tanenbaum              1992   80.26
0430756991010  Secure Problems                           2  Bob Quicksilver                               2003   93.49
0438176834880  Introduction to Game Basics               5  Eve Ross & Bob Miller                         2005   57.70
6755928253845  Python Concepts                           6  Gerry Silberschatz & Jenny Miller             2016   70.63
8989383964073  Java Networks                             5  Gerry Null & Frank Null                       1990   70.99
2364684910605  Hacking Python Basics                     5  Bob Kurose                                    1991   51.49
5380797744384  Hacking Hardware Concepts                 1  Eve Silberschatz                              1999   99.01
6454213583892  Python Problems                           1  Charlie Silberschatz                          2016   55.64
1915321615038  Computer Concepts                         9  Frank Miller & Eve Patterson                  2011   53.06
0950618961726  Understanding Python Problems             6  Gerry O'Reilly                                2009   61.53
7436267724951  Diving into Java Problems                 1  Harry O'Reilly                                1991   44.83
4975859833454  Web Systems                               7  David Miller                                  2015   19.85
2208405074999  Diving into Secure Concepts               2  Frank Miller & Gerry Tanenbaum                1999   13.48
4922452934329  Advanced Game Fundamentals                1  Eve Kurose & Charlie Ross                     2007   49.55
9315873766033  Web Systems                               6  David Kurose & Alice Quicksilver              2011   72.11
0706609426124  Secure Systems                            8  David Miller & Eve Lee                        1992   45.99
2548039988924  Game Concepts                             4  Irene Ross                                    2006   28.88
4721564101453  C++ Basics                                7  Irene O'Reilly                                1992   69.72
3716462894549  Understanding Secure Problems             6  Charlie Silberschatz & Bob Tanenbaum          2002   26.58
8789800217812  Operating Principles                      1  Frank Miller & Eve O'Reilly                   2011   97.15
7412462804134  Web Systems                               6  Bob Silberschatz                              2003   65.63
1271130557281  Computer Fundamentals                     6  Alice Miller & Eve Null                       1994    0.67
3234840983442  Mastering C++ Basics                      1  Charlie O'Reilly & David O'Reilly             1993   69.30
9440105166800  Python Security                           5  Charlie Quicksilver                           2008   34.19
1005954169579  Diving into Web Systems                   6  Eve Miller                                    1998   98.45
6127589011611  Developing Operating Concepts             7  Alice Tanenbaum & Alice Null                  1991   32.81
8553970145214  Java Problems                             3  Harry Silberschatz                            1994   35.01
3473964568274  Advanced Secure Systems                   2  Irene O'Reilly & Charlie O'Reilly             2015   44.98
5542864554631  Java Systems                              8  Jenny Kurose & Bob Silberschatz               2006   40.23
0035275816494  Python Principles                         4  Jenny Tanenbaum                               2000   80.35
8677809240568  Web Basics                                9  Eve Tanenbaum & Bob Patterson                 1991   84.36
8843442189949  Hacking Python Networks                   9  Frank Miller & Charlie Lee                    2001   79.79
1221974753253  Hardware Principles                       9  Gerry Lee & David Lee                         2013   91.74
4445806763398  Database Security                         7  David Patterson & Eve Null                    2005   19.05
4763574411888  C++ Systems                               7  Harry Silberschatz & Bob Lee                  1993   21.19
9673042701988  Secure Problems                           4  Frank Miller & Irene Silberschatz             2001    2.16
8815043079646  Java Principles                           9  Harry Quicksilver & Eve Miller                2003   41.35
8063610258837  Introduction to Game Basics               9  Harry Ross & Jenny Patterson                  2000   53.85
7896526145771  Database Networks                         7  Harry Lee                                     1999   39.73
3902520198579  Database Security                         3  Alice Kurose & Bob Tanenbaum                  2001   81.51
5588869098776  Developing Computer Principles            9  Gerry Quicksilver & Gerry Quicksilver         1991   91.74
8096056834779  Introduction to Secure Systems            7  Alice Quicksilver & Charlie Silberschatz      2015   20.32
1612680139505  Secure Systems                            1  Charlie Null                                  2004   96.42
1126175138416  Developing Web Concepts                   4  David Lee & Gerry Null                        2000   67.01
6722574411318  Computer Networks                         9  Alice Patterson                               1998   67.33
3271325398701  Game Security                             1  Bob Silberschatz & Bob O'Reilly               2003   59.18
5558341636433  Hardware Basics                           6  Irene Patterson                               1993   83.62
5544177699992  Python Principles                         1  Harry Quicksilver                             2009   86.34
4728574587213  Computer Principles                       8  Harry Kurose & Jenny Kurose                   2010   76.08
0734000053579  Computer Fundamentals                     7  Gerry Kurose                                  2009   52.33
5129926398503  Understanding Computer Fundamentals       1  Jenny Patterson                               2007   36.08
5871101967811  Advanced Game Problems                    2  Frank Tanenbaum & Charlie Quicksilver         1990   54.90
7753932693413  Developing Database Security              9  David Lee                                     2015   76.03
3374241617096  Introduction to Database Problems         6  Charlie Null                                  2008   91.27
3532054533691  Introduction to Operating Systems         4  Jenny Null                                    1991   67.13
2096963991008  Introduction to Hardware Principles       6  David Lee                                     2003   39.36
0416757244896  Web Concepts                              7  Jenny Tanenbaum & Irene O'Reilly              2005   57.93
2369141887768  Operating Fundamentals                    1  Gerry Miller                                  2003   80.98
6017202929441  Hardware Fundamentals                     4  Eve Miller & Alice Tanenbaum                  2003   83.91
4524402094052  Python Systems                            7  Alice Kurose                                  1998   28.95
5264264439960  C++ Networks                              7  Charlie Null & Frank Silberschatz             1990   58.12
2836568326252  Computer Fundamentals                     7  Frank Miller                                  1999   63.57
3875510713975  Computer Fundamentals                     4  Alice Silberschatz                            1996   47.97
1426791549280  Web Problems                              7  Eve O'Reilly & Harry Ross                     1991   39.61
3234449777395  Mastering Game Networks                   6  Frank Quicksilver & Charlie Null              1993   48.51
3601393262366  Secure Networks                           2  Eve Silberschatz                              1999   90.35
6042638830323  Developing C++ Problems                   9  Charlie O'Reilly                              2006   61.34
4137852324641  Hacking Web Problems                      2  Alice Patterson & Alice Lee                   1990   42.16
0034085016863  Hacking Database Fundamentals             1  Bob Null                                      1997   80.43
1850357847174  Computer Systems                          7  Irene Kurose                                  1991   20.96
0405744817810  Mastering Operating Principles            6  Irene Null                                    1991   83.70
4534669010824  Hacking Operating Networks                7  David Null & Gerry Lee                        2004   39.00
3198390159024  Developing Hardware Security              4  Irene Silberschatz & Charlie Null             2013   22.60
8089788891917  Developing Database Problems              9  Gerry Null & Gerry Patterson                  2009   82.39
3340919240333  Advanced Computer Fundamentals            7  Eve Quicksilver                               1999    6.21
3375490906160  Hardware Networks                         2  Alice Null                                    2002   94.45
7291108906602  Understanding Secure Concepts             1  Irene O'Reilly                                1991   72.18
0141436516223  Mastering Game Networks                   1  Harry Kurose & Bob Lee                        1992   33.60
0898949393682  Database Principles                       7  Jenny Kurose & Irene Ross                     2007   50.47
2486889565976  Game Problems                             7  Gerry Miller & Harry Ross                     2011   76.98
5438574142716  Web Problems                              7  Irene Kurose                                  2018   79.29
2810854379729  Game Fundamentals                         1  Gerry Ross & Jenny O'Reilly                   2006   21.11
4414264024504  Web Networks                              4  Frank Silberschatz & David Ross               1990   51.59
8258054593835  Advanced Hardware Security                7  Bob Quicksilver                               1995   95.87
5340699916795  Database Fundamentals                     7  David Silberschatz & Jenny Kurose             1991   26.00
7720825366760  Developing Python Principles              4  David O'Reilly & David Null                   1993   78.36
4192796370707  Database Problems                         7  Charlie Ross                                  1995   25.54
1347900324037  Mastering Game Networks                   1  Charlie Null & Irene Quicksilver              2018   94.37
2320027015765  Introduction to Python Fundamentals       4  Charlie Null & Jenny Silberschatz             1992   41.21
0991740185544  Web Problems                              4  Harry O'Reilly                                2004   92.25
4390829525453  Developing Web Concepts                   3  Alice Kurose & Gerry O'Reilly                 2002   39.61
5385785001273  Advanced Web Principles                   3  Jenny Null & Bob Miller                       2001   99.38
8543254398273  Java Problems                             7  Jenny Lee                                     2003   73.30
8072344480408  Computer Principles                       4  Frank Lee & Irene Quicksilver                 2010   82.69
6327537168331  Hardware Principles                       1  Gerry Miller & Charlie Kurose                 2015   77.74
5096202511624  Computer Principles                       7  Bob Lee                                       1990   28.27
5175092145972  C++ Security                              8  Charlie Patterson & Alice Tanenbaum           2003   63.53
1481467087948  Mastering Java Problems                   1  Harry Silberschatz                            1995    0.15
1173029918966  Developing Java Networks                  6  Frank Lee & Frank Ross                        2013   34.63
7607558150870  Understanding Secure Fundamentals         3  Eve Miller                                    1998   86.89
3422517602221  Diving into Computer Problems             3  Jenny O'Reilly & Gerry Silberschatz           2002   35.36
8904142263605  Understanding C++ Principles              5  Jenny Null                                    1992   70.40
6320321029692  Python Problems                           1  David Kurose & Frank Kurose                   2012   21.46
1500753277579  Mastering Hardware Basics                 9  Charlie Lee & Jenny Silberschatz              2007   64.30
9325088125141  Advanced Secure Systems                   6  Harry Quicksilver                             1996   29.72
3510420422898  Java Basics                               2  Harry Ross                                    2009   87.90
5184928056750  Computer Networks                         2  Frank Null                                    1999    8.17
2313506783584  Hardware Systems                          3  Gerry Quicksilver                             2001   45.58
3337122188199  Diving into Python Principles             4  Harry Ross & David O'Reilly                   2014   21.95
4405256040466  Understanding C++ Fundamentals            7  Irene Silberschatz & Alice Lee                1991   14.90
6595394624789  Game Fundamentals                         8  David Miller                                  2014   20.68
5045611529569  Database Security                         3  Irene O'Reilly                                1991   53.66
3661971319327  Introduction to Game Principles           6  Bob Silberschatz & Irene O'Reilly             2001   99.69
6504604581090  Database Networks                         7  Irene Kurose                                  2008   39.41
7582489247025  Hardware Concepts                         6  Charlie Silberschatz & Harry Silberschatz     2006   83.53
2151915490606  Hacking Web Principles                    7  David Tanenbaum                               2012   92.96
8599515406962  Hacking Game Systems                      8  Harry Lee                                     1994   31.19
9968207195011  Developing Database Systems               5  Irene O'Reilly                                2000   21.33
7456371017607  Web Systems                               9  Gerry Lee                                     1999   96.48
9014639856717  Database Security                         4  Irene Lee & Eve Null                          2008   64.07
8726884427811  Diving into Hardware Concepts             7  Bob O'Reilly                                  2007   52.71
8916634961527  Python Basics                             6  Bob Ross                                      1991   65.37
0008126873992  Introduction to C++ Security              2  Irene Kurose                                  1992   31.78
5964519477626  Introduction to Secure Fundamentals       5  Jenny Lee & Harry Ross                        2013   74.14
1071131766741  Hardware Security                         3  Gerry O'Reilly                                2002   63.83
3127082161572  Hardware Systems                          6  Bob Tanenbaum & Alice Null                    2010   74.26
5330250944886  Advanced Hardware Security                2  Jenny Patterson & Alice Tanenbaum             1993   96.77
5836812468220  Hacking Operating Principles              8  Eve Patterson                                 2006    0.77
4011461541279  Python Concepts                           8  Jenny Tanenbaum & Charlie Ross                2011   87.11
5916744546513  Advanced Game Fundamentals                4  Irene Lee                                     2011   22.97
5321589728424  Computer Networks                         5  Eve Miller                                    2017   66.51
8287051762377  Mastering Python Basics                   2  Gerry Quicksilver & David Ross                2018   84.02
5539173329432  Developing C++ Networks                   1  Jenny O'Reilly & Irene Tanenbaum              1996   38.74
5165455892720  Operating Networks                        7  Gerry Null                                    2014   95.79
1007957550958  Operating Networks                        3  Irene Quicksilver                             2017   68.76
2215559631012  Understanding Secure Principles           7  Gerry O'Reilly & Eve Miller                   2001   57.96
3512741360125  Secure Basics                             4  Gerry Lee & Bob Ross                          2002   76.89
0522709660990  Developing Game Networks                  7  Gerry Tanenbaum & Alice Miller                2008   92.31
0716784368578  C++ Networks                              6  Jenny Silberschatz                            2007   70.03
1023409335042  Python Basics                             8  Gerry Miller                                  2003   46.93
7591488447914  Introduction to Java Security             5  Bob O'Reilly & Harry O'Reilly                 2017   59.63
2324023659784  Database Principles                       5  Frank Null                                    1995    4.35
0360523937296  C++ Problems                              7  Alice Quicksilver & Bob O'Reilly              2017   39.11
3492843174075  Game Systems                              7  Harry Lee & Jenny Silberschatz                1992   82.36
7366179230457  Diving into Java Systems                  9  Harry Quicksilver & David Ross                2008   25.93
8996633095004  Developing C++ Networks                   2  David Patterson & Gerry Kurose                1993   32.91
4268683355629  Introduction to Game Systems              7  Harry Null & Eve Ross                         2002   93.45
5924932306624  Understanding Computer Systems            3  Eve Quicksilver & Alice O'Reilly              1998   59.66
8440916380399  Python Fundamentals                       1  Eve Lee                                       2004   25.20
9032235919970  C++ Security                              2  Harry Kurose                                  2002   21.31
0152382439160  Mastering C++ Security                    8  Eve Null & Charlie Kurose                     2012    8.22
3805561365624  Hacking Web Systems                       5  Alice Quicksilver                             2007   86.88
9170654711773  Diving into Java Concepts                 2  Jenny Tanenbaum & Alice Miller                2004   88.26
3468199103826  Mastering Secure Basics                   9  Irene Lee                                     2001   11.15
9459364603965  Operating Networks                        4  Bob O'Reilly                                  2004   59.67
3945767044229  C++ Principles                            3  Harry Patterson                               1996   99.62
8364354769026  Introduction to Hardware Basics           3  Charlie Ross                                  1993   23.60
3277479884176  Hardware Networks                         5  Harry Kurose                                  2004   60.51
1139364748137  Diving into Hardware Basics               7  Alice Quicksilver                             2014   29.91
5298686475154  Introduction to Hardware Fundamentals     5  Frank Lee & Jenny Kurose                      2013   77.69
6135379885592  Mastering Secure Principles               8  Frank Miller & Charlie Silberschatz           1993   18.33
7878802337502  Database Fundamentals                     6  Charlie Ross                                  1998   41.98
2577265471883  Mastering Operating Concepts              9  Eve Miller                                    2012   85.27
3722024026818  Operating Basics                          5  Jenny Kurose                                  1990   45.88
6929951293447  Advanced Database Systems                 9  Alice Lee                                     2016   39.99
5044030013155  Java Fundamentals                         6  Jenny Null & Eve Null                         2001   52.81
6824718214745  Advanced Python Networks                  9  David Silberschatz & Gerry Null               2018   41.24
7465887493260  Web Principles                            6  Irene Silberschatz                            2008   37.83
0574465121053  Java Concepts                             5  Gerry Null & Charlie Null                     1993   64.61
0941265373102  Mastering Computer Systems                8  Gerry Patterson                               1993   21.11
4054052520388  Understanding Secure Systems              4  Charlie Kurose & Harry O'Reilly               1996    3.57
8021860466527  Introduction to Game Problems             5  Charlie O'Reilly                              2012   90.44
8445475318945  Developing Operating Systems              7  Bob Lee                                       2017   64.79
0458465838277  Mastering Secure Basics                   6  Irene Tanenbaum                               2000   73.02
3942809984076  Understanding Database Security           8  Eve Tanenbaum                                 2000   93.66
1302585111780  Understanding C++ Security                4  Gerry Null                                    1991   16.91
4442394828988  Python Principles                         5  Irene Tanenbaum                               1998   77.16
3807638457501  Introduction to C++ Security              1  Jenny Tanenbaum & Bob Miller                  1992   30.54
0075177744925  Hardware Principles                       7  Harry Miller & Harry O'Reilly                 2010   57.22
8161766766972  Mastering Computer Concepts               6  Frank Patterson & Bob O'Reilly                2000   80.66
4640289075505  Diving into Hardware Principles           3  Charlie Tanenbaum                             2002   40.47
7958685054331  Web Systems                               5  Alice Silberschatz                            1998   22.71
0410007169033  Hacking Web Problems                      8  Jenny Lee                                     2000   35.05
8639142832647  Python Problems                           4  Harry Quicksilver & Jenny Tanenbaum           2001   67.31
5815239528899  Hardware Concepts                         4  Frank Lee                                     2007   73.87
9791657944502  C++ Basics                                3  Irene Ross & Bob Patterson                    2011   10.48
4525739517902  Hardware Networks                         3  Gerry Tanenbaum                               2013   16.09
6559563955409  Advanced Operating Basics                 6  Charlie Ross & Bob Patterson                  2007   12.63
5850040667352  Database Security                         6  Gerry Miller & Harry Null                     2004   29.20
2301621511044  Diving into Game Fundamentals             2  Bob Silberschatz                              1994   65.50
7428222887369  Hacking Operating Systems                 6  Harry Ross & Alice Patterson                  1996   32.34
6493513871138  Game Problems                             4  Eve Patterson                                 1999   99.73
1345690658993  Understanding Hardware Problems           3  Bob Kurose                                    1993   18.01
7007689127221  Python Principles                         7  Harry O'Reilly & Alice Tanenbaum              1998   87.20
1944184152252  Understanding Database Principles         5  Jenny Kurose & Frank Patterson                2003   52.60
8605939009147  Hacking Database Principles               5  Charlie Null & Harry Null                     2010   53.33
2074684865750  Diving into Game Problems                 3  Gerry Patterson                               1997   97.48
1820881537694  Developing Web Principles                 3  Alice Null                                    2004    0.35
0224253218603  Operating Concepts                        2  Harry Kurose                                  2011   52.68
5520109876936  Web Networks                              1  Bob Ross                                      1999   66.32
4685324783554  Hardware Fundamentals                     9  Harry Tanenbaum                               2017   97.83
4909367336170  Mastering Java Systems                    7  Gerry Quicksilver                             2012   10.04
4890170469556  Game Fundamentals                         3  David Null                                    1993    4.67
8927179433560  Hardware Basics                           7  Frank Kurose & Frank Patterson                1994   61.72
1656032711437  Developing Game Security                  5  Eve O'Reilly                                  1994   78.72
4524832828007  Introduction to Web Networks              6  Jenny O'Reilly                                1995   23.65
2358850691116  Operating Networks                        2  Eve Miller & Harry Lee                        2005   99.42
3088909045470  Operating Concepts                        1  Gerry Quicksilver & Eve Silberschatz          2006   68.32
0741600108579  Python Security                           9  Charlie Kurose                                1990   95.77
9732141802237  Diving into Database Networks             3  Charlie Kurose                                2002   58.73
6175145831100  Mastering Database Basics                 3  David Quicksilver & Irene Patterson           2011   98.05
1828852034701  Game Basics                               2  Irene Miller                                  2016   79.94
1087963898305  Database Systems                          6  Frank Kurose                                  2013    1.36
4903155357020  Diving into Secure Systems                4  Charlie Quicksilver                           2015   75.72
4638493538840  Introduction to Secure Concepts           3  Eve Tanenbaum                                 1997    8.39
2362070076276  Understanding C++ Basics                  8  Jenny Quicksilver                             2016   68.15
3979948565435  Web Security                              6  David Silberschatz                            1991   70.53
6050306817725  Developing Game Systems                   7  Gerry Kurose                                  2013   10.93
1540528798330  Introduction to Python Fundamentals       4  Eve Lee                                       2008   48.31
3292862010615  Hardware Systems                          8  Harry Null & Gerry Silberschatz               2012   13.81
3416036397098  C++ Systems                               6  Alice Silberschatz                            1997   24.38
9567248438504  Game Networks                             2  Jenny Kurose & Alice O'Reilly                 2013   24.60
7297360233507  Java Systems                              1  Alice O'Reilly                                2006   85.31
9082608311272  Hardware Networks                         4  David Patterson & David Kurose                1991   19.60
7871257716963  Diving into Secure Systems                3  Charlie O'Reilly                              1994   30.92
7106643785537  Hardware Networks                         4  Harry Lee                                     2014   21.89
6062619042081  Java Basics                               4  Frank Lee & Frank Null                        2016    2.69
5603722521679  Hardware Concepts                         4  Gerry O'Reilly & Harry Tanenbaum              2004   86.74
1886327766343  Diving into Web Security                  4  Eve Ross                                      2004   38.35
9529238549436  Python Principles                         2  Charlie Quicksilver & Charlie Quicksilver     1996   68.48
3256968880663  Hacking Operating Systems                 7  Jenny Null                                    2016   19.90
6578060147432  Diving into Computer Basics               9  Bob O'Reilly & Eve Miller                     1993   26.37
0133827922341  Database Systems                          5  Frank Silberschatz & Charlie Null             2004   65.64
1643420753699  Python Basics                             3  Irene Lee & Gerry Kurose                      2017   38.35
7820678252120  Database Principles                       1  Charlie Miller & Gerry Quicksilver            2013    0.27
0966245471173  Java Fundamentals                         9  Harry Silberschatz                            2001   94.81
7733339310742  Diving into Operating Principles          5  Gerry Tanenbaum                               2009    4.25
2487949232715  Diving into Java Problems                 6  Frank Miller & Harry Quicksilver              1993   69.31
7605868063163  Understanding Operating Problems          6  Irene Null & Eve Miller                       2007   86.93
1983508985074  Mastering Web Concepts                    9  Gerry Lee & Gerry Silberschatz                2018   99.80
8466856909275  Secure Basics                             7  Charlie Silberschatz                          2006   34.89
0624236556355  Diving into Computer Security             7  Irene Patterson                               2017   58.07
6409161411822  Computer Networks                         4  Gerry Kurose                                  1990   16.51
8934691502424  Introduction to Hardware Networks         1  Jenny Ross & Bob Lee                          1995   50.42
0760649622671  Computer Principles                       4  Charlie Silberschatz                          2011   63.43
9258871824893  Mastering Computer Security               8  Harry O'Reilly & Gerry Quicksilver            2016   42.99
2037897390094  Python Problems                           7  Bob Patterson & Bob Kurose                    2015   37.49
1222463857680  Secure Systems                            2  Alice O'Reilly & Frank Ross                   1999   16.31
9501029359750  Developing Computer Problems              9  Bob Ross                                      1996   14.68
9994077882748  Computer Fundamentals                     7  Bob O'Reilly                                  2011   86.24
2746831092610  Understanding Database Fundamentals       3  Alice Tanenbaum & Irene O'Reilly              2007   61.42
9939086435504  Understanding Database Networks           6  Eve Tanenbaum                                 2002   37.43
9668557620339  Advanced Java Security                    4  Alice Silberschatz                            2014    4.42
8099939296828  Java Basics                               1  David Quicksilver & Harry Patterson           2008   22.41
3377222597012  Understanding Secure Systems              1  Irene Null                                    1998   66.68
6197901078683  Developing Hardware Concepts              4  David O'Reilly                                1996   11.48
0922652698235  Hardware Basics                           4  David Null                                    2010   44.14
3613639913803  Secure Fundamentals                       7  David Kurose                                  2002   80.24
3506049480004  Web Basics                                7  Frank Silberschatz & Charlie Silberschatz     2018   38.34
5564281982639  Mastering Java Principles                 2  David Kurose                                  2004   48.28
7680185681935  Advanced Game Systems                     7  Alice Silberschatz & Bob Tanenbaum            2007   58.82
2756506655307  Introduction to Python Fundamentals       6  Harry Quicksilver                             2014    8.65
7540249661786  Operating Concepts                        6  David Tanenbaum & Charlie Silberschatz        2010    2.22
8945954191076  Mastering Operating Networks              5  Jenny O'Reilly & Gerry Silberschatz           2008   97.39
3693304506245  Secure Systems                            1  Gerry O'Reilly                                2008   49.58
8808080971490  Java Concepts                             7  Frank Quicksilver                             1996   93.06
4027516209800  Java Problems                             5  Jenny O'Reilly                                2008   42.17
8449131058876  Advanced Operating Networks               3  Irene Lee & David Null                        2003   17.86
9626913563477  Operating Concepts                        8  Frank Quicksilver                             1990   49.89
3474854866873  Secure Basics                             5  Jenny Silberschatz                            2002   53.91
9018196180628  Hacking Operating Basics                  7  David O'Reilly & Harry Ross                   1990   34.40
7291868069949  Secure Security                           7  Bob Quicksilver                               2013   58.39
